No,日本語名,英語名,定義,カテゴリ,ドメイン
7414,財形貯蓄,,財形貯蓄に関連する業務用語。,Concept,共通
7415,財投債,,財投債に関連する業務用語。,Concept,共通
7416,財投機関債,,財投機関債に関連する業務用語。,Concept,共通
7417,財政,,財政に関連する業務用語。,Concept,共通
7418,財政の崖,,財政の崖に関連する業務用語。,Concept,共通
7419,財政ファイナンス,,財政ファイナンスに関連する業務用語。,Process,金融
7420,財政プレミアム,,財政プレミアムに関連する業務用語。,Concept,M&A
7421,財政投融資,,財政投融資に関連する業務用語。,Process,金融
7422,財政投融資特別会計国債,,財政投融資特別会計国債に関連する業務用語。,Document,会計
7423,財政政策,,財政政策に関連する業務用語。,Concept,共通
7424,財政方式,,財政方式に関連する業務用語。,Concept,共通
7425,財政状態,,財政状態に関連する業務用語。,Concept,共通
7426,財政状態の分析,Analysis of Financial Position,財政状態の分析に関連する業務用語。,Concept,共通
7427,財政研究会,,財政研究会に関連する業務用語。,Concept,共通
7428,財政赤字,,財政赤字に関連する業務用語。,Concept,共通
7429,財産,,財産に関連する業務用語。,Concept,共通
7430,財産法,,財産法に関連する業務用語。,Concept,共通
7431,貢献利益,,貢献利益に関連する業務用語。,Concept,共通
7432,貧困率,,貧困率に関連する業務用語。,Concept,共通
7433,貨幣数量説,,貨幣数量説に関連する業務用語。,Concept,共通
7434,販売中止,,販売中止に関連する業務用語。,Concept,共通
7435,販売会社,,販売会社に関連する業務用語。,Entity,共通
7436,販売促進戦略,,販売促進戦略に関連する業務用語。,Concept,共通
7437,販売促進費用補助制度,,販売促進費用補助制度に関連する業務用語。,Metric,会計
7438,販売停止,,販売停止に関連する業務用語。,Concept,共通
7439,販売基準,,販売基準に関連する業務用語。,Concept,共通
7440,販売手数料,,販売手数料に関連する業務用語。,Concept,共通
7441,販売終了,,販売終了に関連する業務用語。,Concept,共通
7442,販売費,,販売費に関連する業務用語。,Concept,共通
7443,販売費及び一般管理費,"Selling, General and Administrative Expenses (SG&A)",販売費及び一般管理費に関連する業務用語。,Metric,会計
7444,販管費,,販管費に関連する業務用語。,Metric,会計
7445,責任会計,,責任会計に関連する業務用語。,Document,会計
7446,責任投資原則（PRI）,,責任投資原則（PRI）に関連する業務用語。,Concept,共通
7447,責任準備金,,責任準備金に関連する業務用語。,Concept,共通
7448,責任開始期,,責任開始期に関連する業務用語。,Concept,共通
7449,貯蔵品,,貯蔵品に関連する業務用語。,Concept,共通
7450,貴金属上場信託（現物国内保管型）,,貴金属上場信託（現物国内保管型）に関連する業務用語。,Concept,投資
7451,買いたい弱気,,買いたい弱気に関連する業務用語。,Concept,共通
7452,買いにくい相場は高い,,買いにくい相場は高いに関連する業務用語。,Concept,共通
7453,買いもたれ,,買いもたれに関連する業務用語。,Concept,共通
7454,買いオペレーション,,買いオペレーションに関連する業務用語。,Concept,共通
7455,買い一巡,,買い一巡に関連する業務用語。,Concept,共通
7456,買い一服,,買い一服に関連する業務用語。,Concept,共通
7457,買い上がり,,買い上がりに関連する業務用語。,Concept,共通
7458,買い下がり,,買い下がりに関連する業務用語。,Concept,共通
7459,買い乗せ,,買い乗せに関連する業務用語。,Concept,共通
7460,買い二分に売り八分,,買い二分に売り八分に関連する業務用語。,Concept,共通
7461,買い入れ償還,,買い入れ償還に関連する業務用語。,Concept,共通
7462,買い入れ消却,,買い入れ消却に関連する業務用語。,Concept,共通
7463,買い占め,,買い占めに関連する業務用語。,Concept,共通
7464,買い向かう,,買い向かうに関連する業務用語。,Concept,共通
7465,買い場,,買い場に関連する業務用語。,Concept,共通
7466,買い安心,,買い安心に関連する業務用語。,Concept,共通
7467,買い建て玉,,買い建て玉に関連する業務用語。,Concept,共通
7468,買い建玉,,買い建玉に関連する業務用語。,Concept,共通
7469,買い戻し,,買い戻しに関連する業務用語。,Concept,共通
7470,買い手の交渉力,,買い手の交渉力に関連する業務用語。,Concept,共通
7471,買い手市場,,買い手市場に関連する業務用語。,Concept,共通
7472,買い手控え,,買い手控えに関連する業務用語。,Concept,共通
7473,買い持ち,,買い持ちに関連する業務用語。,Concept,共通
7474,買い推奨,Buy Recommendation,買い推奨に関連する業務用語。,Concept,共通
7475,買い支え,,買い支えに関連する業務用語。,Concept,共通
7476,買い材料,,買い材料に関連する業務用語。,Concept,共通
7477,買い残,,買い残に関連する業務用語。,Concept,共通
7478,買い気配,,買い気配に関連する業務用語。,Concept,共通
7479,買い特別気配,,買い特別気配に関連する業務用語。,Concept,共通
7480,買い玉,,買い玉に関連する業務用語。,Concept,共通
7481,買い疲れ,,買い疲れに関連する業務用語。,Concept,共通
7482,買い越し,,買い越しに関連する業務用語。,Concept,共通
7483,買い飽き,,買い飽きに関連する業務用語。,Concept,共通
7484,買うべし,,買うべしに関連する業務用語。,Concept,共通
7485,買上がり・売り崩し,,買上がり・売り崩しに関連する業務用語。,Concept,共通
7486,買付可能額,,買付可能額に関連する業務用語。,Concept,共通
7487,買付手数料,,買付手数料に関連する業務用語。,Concept,共通
7488,買入償還,,買入償還に関連する業務用語。,Concept,共通
7489,買入消却,,買入消却に関連する業務用語。,Concept,共通
7490,買占め,,買占めに関連する業務用語。,Concept,共通
7491,買収,Acquisition,買収に関連する業務用語。,Process,M&A
7492,買収ファンド,,買収ファンドに関連する業務用語。,Metric,投資
7493,買収対抗策,,買収対抗策に関連する業務用語。,Process,M&A
7494,買収防衛策,,買収防衛策に関連する業務用語。,Process,M&A
7495,買取引受,,買取引受に関連する業務用語。,Concept,共通
7496,買取請求,,買取請求に関連する業務用語。,Concept,共通
7497,買取請求（投資信託）,,買取請求（投資信託）に関連する業務用語。,Metric,投資
7498,買取請求（株式）,,買取請求（株式）に関連する業務用語。,Concept,財務分析
7499,買回品,,買回品に関連する業務用語。,Concept,共通
7500,買増制度,,買増制度に関連する業務用語。,Concept,共通
7501,買建玉,,買建玉に関連する業務用語。,Concept,共通
7502,買戻し,,買戻しに関連する業務用語。,Concept,共通
7503,買掛債務,,買掛債務に関連する業務用語。,Concept,共通
7504,買掛金,Accounts Payable / Trade Payables,商品・サービスを仕入れたが未払いの代金。,Concept,調達
7505,買掛金元帳,,買掛金元帳に関連する業務用語。,Concept,調達
7506,買掛金勘定,,買掛金勘定に関連する業務用語。,Document,会計
7507,買方,,買方に関連する業務用語。,Concept,共通
7508,買方金利,,買方金利に関連する業務用語。,Concept,共通
7509,買残高,,買残高に関連する業務用語。,Concept,共通
7510,貸し倒れリスク,,貸し倒れリスクに関連する業務用語。,Concept,共通
7511,貸し渋り,,貸し渋りに関連する業務用語。,Concept,共通
7512,貸付債権,,貸付債権に関連する業務用語。,Concept,共通
7513,貸付債権担保,,貸付債権担保に関連する業務用語。,Concept,共通
7514,貸付金,,貸付金に関連する業務用語。,Concept,共通
7515,貸倒れ,,貸倒れに関連する業務用語。,Concept,共通
7516,貸倒れに係る消費税額,,貸倒れに係る消費税額に関連する業務用語。,Process,税務
7517,貸倒実績率,,貸倒実績率に関連する業務用語。,Concept,共通
7518,貸倒実績率法,,貸倒実績率法に関連する業務用語。,Concept,共通
7519,貸倒引当金の調整,,貸倒引当金の調整に関連する業務用語。,Document,会計
7520,貸倒引当金繰入,,貸倒引当金繰入に関連する業務用語。,Document,会計
7521,貸倒引当金繰入額,,貸倒引当金繰入額に関連する業務用語。,Document,会計
7522,貸倒懸念債権,,貸倒懸念債権に関連する業務用語。,Concept,共通
7523,貸倒損失,,貸倒損失に関連する業務用語。,Metric,会計
7524,貸借倍率,,貸借倍率に関連する業務用語。,Document,会計
7525,貸借値段,,貸借値段に関連する業務用語。,Document,会計
7526,貸借取引,,貸借取引に関連する業務用語。,Document,会計
7527,貸借対照表原則,,貸借対照表原則に関連する業務用語。,Document,会計
7528,貸借対照表日,,貸借対照表日に関連する業務用語。,Document,会計
7529,貸借対照表（B/S）,,貸借対照表（B/S）に関連する業務用語。,Document,会計
7530,貸借平均の原理,,貸借平均の原理に関連する業務用語。,Document,会計
7531,貸借記入,,貸借記入に関連する業務用語。,Document,会計
7532,貸借銘柄,,貸借銘柄に関連する業務用語。,Document,会計
7533,貸借銘柄指定基準,,貸借銘柄指定基準に関連する業務用語。,Document,会計
7534,貸出支援基金,,貸出支援基金に関連する業務用語。,Concept,共通
7535,貸方・借方,,貸方・借方に関連する業務用語。,Concept,共通
7536,貸方要素,,貸方要素に関連する業務用語。,Concept,共通
7537,貸株,,貸株に関連する業務用語。,Concept,共通
7538,貸株サービス,,貸株サービスに関連する業務用語。,Concept,共通
7539,貸株停止銘柄,,貸株停止銘柄に関連する業務用語。,Concept,共通
7540,貸株市場,,貸株市場に関連する業務用語。,Concept,共通
7541,貸株注意喚起銘柄,,貸株注意喚起銘柄に関連する業務用語。,Concept,共通
7542,貸株申込制限銘柄,,貸株申込制限銘柄に関連する業務用語。,Concept,共通
7543,費用,,費用に関連する業務用語。,Metric,会計
7544,費用・収益対応の原則,,費用・収益対応の原則に関連する業務用語。,Metric,会計
7545,費用収益対応の原則,Matching Principle,費用収益対応の原則に関連する業務用語。,Metric,会計
7546,費用機能法,,費用機能法に関連する業務用語。,Metric,会計
7547,費用配分の原則,,費用配分の原則に関連する業務用語。,Metric,会計
7548,費目別原価計算,,費目別原価計算に関連する業務用語。,Metric,会計
7549,貿易収支,,貿易収支に関連する業務用語。,Concept,共通
7550,貿易収支（米国）,,貿易収支（米国）に関連する業務用語。,Concept,共通
7551,貿易統計,,貿易統計に関連する業務用語。,Concept,共通
7552,賃借料,,賃借料に関連する業務用語。,Concept,共通
7553,資本,,資本に関連する業務用語。,Concept,共通
7554,資本コスト,Cost of Capital,資本コストに関連する業務用語。,Process,金融
7555,資本利益率,,資本利益率に関連する業務用語。,Concept,共通
7556,資本剰余金,Capital Surplus,資本剰余金に関連する業務用語。,Concept,会計
7557,資本割,,資本割に関連する業務用語。,Concept,共通
7558,資本効率,,資本効率に関連する業務用語。,Concept,共通
7559,資本取引,,資本取引に関連する業務用語。,Concept,共通
7560,資本取引・損益取引区分の原則,,資本取引・損益取引区分の原則に関連する業務用語。,Document,会計
7561,資本回収係数,,資本回収係数に関連する業務用語。,Concept,共通
7562,資本市場,,資本市場に関連する業務用語。,Concept,共通
7563,資本市場線,,資本市場線に関連する業務用語。,Concept,共通
7564,資本提携,,資本提携に関連する業務用語。,Concept,共通
7565,資本注入,,資本注入に関連する業務用語。,Concept,共通
7566,資本準備金,,資本準備金に関連する業務用語。,Concept,共通
7567,資本等式,,資本等式に関連する業務用語。,Concept,共通
7568,資本装備率,,資本装備率に関連する業務用語。,Concept,共通
7569,資本規制,,資本規制に関連する業務用語。,Concept,ガバナンス
7570,資本連結,,資本連結に関連する業務用語。,Document,会計
7571,資本金,Common Stock / Share Capital,資本金に関連する業務用語。,Concept,会計
7572,資源国,,資源国に関連する業務用語。,Concept,共通
7573,資源国通貨,,資源国通貨に関連する業務用語。,Concept,投資
7574,資産,Assets,資産に関連する業務用語。,Concept,会計
7575,資産の評価基準,,資産の評価基準に関連する業務用語。,Concept,会計
7576,資産の譲渡,,資産の譲渡に関連する業務用語。,Concept,会計
7577,資産の譲渡等,,資産の譲渡等に関連する業務用語。,Concept,会計
7578,資産の貸付け,,資産の貸付けに関連する業務用語。,Concept,会計
7579,資産・負債の総合管理,,資産・負債の総合管理に関連する業務用語。,Concept,会計
7580,資産三分法,,資産三分法に関連する業務用語。,Concept,会計
7581,資産担保証券,,資産担保証券に関連する業務用語。,Concept,会計
7582,資産管理,,資産管理に関連する業務用語。,Concept,会計
7583,資産負債アプローチ,,資産負債アプローチに関連する業務用語。,Concept,会計
7584,資産負債法,,資産負債法に関連する業務用語。,Concept,会計
7585,資産負債管理,,資産負債管理に関連する業務用語。,Concept,会計
7586,資産除去債務,,資産除去債務に関連する業務用語。,Concept,会計
7587,資金の範囲,,資金の範囲に関連する業務用語。,Concept,共通
7588,資金供給量,,資金供給量に関連する業務用語。,Concept,共通
7589,資金循環統計,,資金循環統計に関連する業務用語。,Concept,共通
7590,資金決済システム,,資金決済システムに関連する業務用語。,Concept,共通
7591,資金洗浄,,資金洗浄に関連する業務用語。,Concept,共通
7592,資金繰り,,資金繰りに関連する業務用語。,Concept,共通
7593,資金繰表,,資金繰表に関連する業務用語。,Concept,共通
7594,資金計画,,資金計画に関連する業務用語。,Concept,共通
7595,資金調達の状況,Financing Status,資金調達の状況に関連する業務用語。,Concept,調達
7596,資金調達コスト,,資金調達コストに関連する業務用語。,Concept,調達
7597,資金運用表,,資金運用表に関連する業務用語。,Concept,共通
7598,賞与,,賞与に関連する業務用語。,Process,人事
7599,賞与引当金,Bonus Reserve,賞与引当金に関連する業務用語。,Document,会計
7600,賞与引当金繰入額,,賞与引当金繰入額に関連する業務用語。,Document,会計
7601,賦課方式,,賦課方式に関連する業務用語。,Concept,共通
7602,賦課課税制度,,賦課課税制度に関連する業務用語。,Concept,共通
7603,質への逃避,,質への逃避に関連する業務用語。,Concept,共通
7604,質問検査権,,質問検査権に関連する業務用語。,Concept,共通
7605,購入のれん,,購入のれんに関連する業務用語。,Document,会計
7606,購入回数,Number of Purchases,購入回数に関連する業務用語。,Concept,共通
7607,購入業務／購買業務,,購入業務／購買業務に関連する業務用語。,Concept,調達
7608,購入者数,Number of Buyers,購入者数に関連する業務用語。,Concept,共通
7609,購買力平価,,購買力平価に関連する業務用語。,Concept,調達
7610,購買力平価(PPP),,購買力平価(PPP)に関連する業務用語。,Concept,調達
7611,購買担当者指数,,購買担当者指数に関連する業務用語。,Concept,調達
7612,購買担当者景況指数,,購買担当者景況指数に関連する業務用語。,Concept,調達
7613,贈与,,贈与に関連する業務用語。,Concept,共通
7614,贈与税,,贈与税に関連する業務用語。,Concept,共通
7615,贈与税の基礎控除,,贈与税の基礎控除に関連する業務用語。,Concept,共通
7616,贈与税の配偶者控除,,贈与税の配偶者控除に関連する業務用語。,Concept,共通
7617,贈収賄防止,Anti-corruption,贈収賄防止に関連する業務用語。,Concept,共通
7618,赤三兵,,赤三兵に関連する業務用語。,Concept,共通
7619,赤字,,赤字に関連する業務用語。,Concept,共通
7620,赤字国債,,赤字国債に関連する業務用語。,Concept,投資
7621,赤字国債発行法案,,赤字国債発行法案に関連する業務用語。,Concept,投資
7622,赤字決算,,赤字決算に関連する業務用語。,Document,会計
7623,赤字転換,Turnaround to Loss,赤字転換に関連する業務用語。,Concept,財務分析
7624,起債,,起債に関連する業務用語。,Concept,共通
7625,起票,,起票に関連する業務用語。,Concept,共通
7626,超過リターン,,超過リターンに関連する業務用語。,Concept,共通
7627,超過収益力,,超過収益力に関連する業務用語。,Metric,投資
7628,超過収益率,,超過収益率に関連する業務用語。,Metric,投資
7629,超過準備,,超過準備に関連する業務用語。,Concept,共通
7630,超過税率,,超過税率に関連する業務用語。,Concept,共通
7631,超長期国債,,超長期国債に関連する業務用語。,Concept,投資
7632,超長期社債,,超長期社債に関連する業務用語。,Concept,投資
7633,超高速取引,,超高速取引に関連する業務用語。,Concept,共通
7634,趨勢分析,,趨勢分析に関連する業務用語。,Concept,共通
7635,足どり,,足どりに関連する業務用語。,Concept,共通
7636,路線価,,路線価に関連する業務用語。,Concept,共通
7637,踊り場,,踊り場に関連する業務用語。,Concept,共通
7638,踏み,,踏みに関連する業務用語。,Concept,共通
7639,踏み上げ,,踏み上げに関連する業務用語。,Concept,共通
7640,車両費,,車両費に関連する業務用語。,Concept,共通
7641,車両運搬具,,車両運搬具に関連する業務用語。,Concept,共通
7642,車輌運搬具,,車輌運搬具に関連する業務用語。,Concept,共通
7643,軟化,,軟化に関連する業務用語。,Concept,共通
7644,軟調,,軟調に関連する業務用語。,Concept,共通
7645,転売,,転売に関連する業務用語。,Concept,共通
7646,転換予約権付株式,,転換予約権付株式に関連する業務用語。,Concept,財務分析
7647,転換価格,,転換価格に関連する業務用語。,Concept,共通
7648,転換価格修正条項付転換社債型新株予約権付社債,,転換価格修正条項付転換社債型新株予約権付社債に関連する業務用語。,Concept,財務分析
7649,転換売り,,転換売りに関連する業務用語。,Concept,共通
7650,転換点,,転換点に関連する業務用語。,Concept,共通
7651,転換率,,転換率に関連する業務用語。,Concept,共通
7652,転換社債アービトラージ,,転換社債アービトラージに関連する業務用語。,Concept,投資
7653,転換社債型新株予約権付社債,,転換社債型新株予約権付社債に関連する業務用語。,Concept,財務分析
7654,転換社債型（投資信託）,,転換社債型（投資信託）に関連する業務用語。,Concept,投資
7655,転換社債市場,,転換社債市場に関連する業務用語。,Concept,投資
7656,転記,,転記に関連する業務用語。,Concept,共通
7657,軽率な一般化,,軽率な一般化に関連する業務用語。,Concept,共通
7658,軽自動車税,,軽自動車税に関連する業務用語。,Concept,共通
7659,輸入インフレ,,輸入インフレに関連する業務用語。,Concept,共通
7660,輸入予約,,輸入予約に関連する業務用語。,Concept,共通
7661,輸入取引の仕入計上基準,,輸入取引の仕入計上基準に関連する業務用語。,Concept,調達
7662,輸入物価指数（米国）,,輸入物価指数（米国）に関連する業務用語。,Concept,共通
7663,輸入自由化,,輸入自由化に関連する業務用語。,Concept,共通
7664,輸出インフレ,,輸出インフレに関連する業務用語。,Concept,共通
7665,輸出ドライブ,,輸出ドライブに関連する業務用語。,Concept,共通
7666,輸出予約,,輸出予約に関連する業務用語。,Concept,共通
7667,輸出関連株,,輸出関連株に関連する業務用語。,Concept,共通
7668,農業生産法人,,農業生産法人に関連する業務用語。,Process,製造
7669,返報性,,返報性に関連する業務用語。,Concept,共通
7670,返戻金,,返戻金に関連する業務用語。,Concept,共通
7671,追い証,,追い証に関連する業務用語。,Concept,共通
7672,追加取得,,追加取得に関連する業務用語。,Concept,共通
7673,追加型,,追加型に関連する業務用語。,Concept,共通
7674,追加型投資信託,,追加型投資信託に関連する業務用語。,Metric,投資
7675,追加型株式投資信託,,追加型株式投資信託に関連する業務用語。,Concept,財務分析
7676,追加的のれん,,追加的のれんに関連する業務用語。,Document,会計
7677,追加設定,,追加設定に関連する業務用語。,Concept,共通
7678,追徴税額,,追徴税額に関連する業務用語。,Concept,共通
7679,追撃売り,,追撃売りに関連する業務用語。,Concept,共通
7680,追撃買い,,追撃買いに関連する業務用語。,Concept,共通
7681,追証,,追証に関連する業務用語。,Concept,共通
7682,追随安,,追随安に関連する業務用語。,Concept,共通
7683,追随高,,追随高に関連する業務用語。,Concept,共通
7684,退店,Store Closures,退店に関連する業務用語。,Concept,共通
7685,退職一時金制度,,退職一時金制度に関連する業務用語。,Concept,共通
7686,退職慰労金,,退職慰労金に関連する業務用語。,Concept,共通
7687,退職所得,,退職所得に関連する業務用語。,Concept,共通
7688,退職所得控除,,退職所得控除に関連する業務用語。,Concept,共通
7689,退職手当,,退職手当に関連する業務用語。,Concept,共通
7690,退職率,,退職率に関連する業務用語。,Concept,共通
7691,退職給付,,退職給付に関連する業務用語。,Concept,共通
7692,退職給付に係る負債,,退職給付に係る負債に関連する業務用語。,Concept,会計
7693,退職給付に係る資産,,退職給付に係る資産に関連する業務用語。,Concept,会計
7694,退職給付会計,,退職給付会計に関連する業務用語。,Document,会計
7695,退職給付信託,,退職給付信託に関連する業務用語。,Concept,共通
7696,退職給付債務,,退職給付債務に関連する業務用語。,Concept,共通
7697,退職給付債務のリサイクリング（組替調整）,,退職給付債務のリサイクリング（組替調整）に関連する業務用語。,Concept,共通
7698,退職給付制度,Retirement Benefit Plan,退職給付制度に関連する業務用語。,Concept,共通
7699,退職給付費用,,退職給付費用に関連する業務用語。,Metric,会計
7700,退職金,,退職金に関連する業務用語。,Process,人事
7701,送金小切手,,送金小切手に関連する業務用語。,Concept,共通
7702,送金為替手形,,送金為替手形に関連する業務用語。,Concept,投資
7703,逆イールド,,逆イールドに関連する業務用語。,Concept,共通
7704,逆ウォッチ曲線,,逆ウォッチ曲線に関連する業務用語。,Concept,共通
7705,逆ウオッチ曲線,,逆ウオッチ曲線に関連する業務用語。,Concept,共通
7706,逆ザヤ,,逆ザヤに関連する業務用語。,Concept,共通
7707,逆デュアル債,,逆デュアル債に関連する業務用語。,Concept,共通
7708,逆二重通貨建て債,,逆二重通貨建て債に関連する業務用語。,Concept,投資
7709,逆取得,,逆取得に関連する業務用語。,Concept,共通
7710,逆張り,,逆張りに関連する業務用語。,Concept,共通
7711,逆指し値注文,,逆指し値注文に関連する業務用語。,Concept,共通
7712,逆指値注文,,逆指値注文に関連する業務用語。,Concept,共通
7713,逆日歩,,逆日歩に関連する業務用語。,Concept,共通
7714,逆日歩に売りなし,,逆日歩に売りなしに関連する業務用語。,Concept,共通
7715,逆日歩に買いなし,,逆日歩に買いなしに関連する業務用語。,Concept,共通
7716,逆粉飾決算,,逆粉飾決算に関連する業務用語。,Document,会計
7717,逆行安,,逆行安に関連する業務用語。,Concept,共通
7718,逆行高,,逆行高に関連する業務用語。,Concept,共通
7719,逆選択,,逆選択に関連する業務用語。,Concept,共通
7720,途中償還,,途中償還に関連する業務用語。,Concept,共通
7721,途換金調整額,,途換金調整額に関連する業務用語。,Concept,共通
7722,通信費,,通信費に関連する業務用語。,Concept,共通
7723,通勤費用,,通勤費用に関連する業務用語。,Metric,会計
7724,通常制限値幅,,通常制限値幅に関連する業務用語。,Concept,共通
7725,通期予想,Full-Year Forecast,通期予想に関連する業務用語。,Concept,共通
7726,通期業績予想,Full-year Earnings Forecast,通期業績予想に関連する業務用語。,Concept,財務分析
7727,通知預金,,通知預金に関連する業務用語。,Concept,共通
7728,通貨オプション,,通貨オプションに関連する業務用語。,Concept,投資
7729,通貨スワップ,,通貨スワップに関連する業務用語。,Concept,投資
7730,通貨バスケット制,,通貨バスケット制に関連する業務用語。,Concept,投資
7731,通貨交換協定,,通貨交換協定に関連する業務用語。,Concept,投資
7732,通貨代用証券,,通貨代用証券に関連する業務用語。,Concept,投資
7733,通貨供給量,,通貨供給量に関連する業務用語。,Concept,投資
7734,通貨切り上げ,,通貨切り上げに関連する業務用語。,Concept,投資
7735,通貨切り下げ,,通貨切り下げに関連する業務用語。,Concept,投資
7736,通貨当局,,通貨当局に関連する業務用語。,Concept,投資
7737,通貨戦争,,通貨戦争に関連する業務用語。,Concept,投資
7738,通貨残高,,通貨残高に関連する業務用語。,Concept,投資
7739,通貨統合,,通貨統合に関連する業務用語。,Concept,投資
7740,通貨選択型投資信託,,通貨選択型投資信託に関連する業務用語。,Concept,投資
7741,連単倍率,,連単倍率に関連する業務用語。,Concept,共通
7742,連年贈与,,連年贈与に関連する業務用語。,Concept,共通
7743,連想売り,,連想売りに関連する業務用語。,Concept,共通
7744,連想買い,,連想買いに関連する業務用語。,Concept,共通
7745,連結の範囲,,連結の範囲に関連する業務用語。,Document,会計
7746,連結はずし,,連結はずしに関連する業務用語。,Document,会計
7747,連結キャッシュフロー計算書,,連結キャッシュフロー計算書に関連する業務用語。,Document,会計
7748,連結キャッシュ・フロー計算書,,連結キャッシュ・フロー計算書に関連する業務用語。,Document,会計
7749,連結パッケージ,,連結パッケージに関連する業務用語。,Document,会計
7750,連結中間申告,,連結中間申告に関連する業務用語。,Document,会計
7751,連結事業年度,,連結事業年度に関連する業務用語。,Document,会計
7752,連結会社,,連結会社に関連する業務用語。,Document,会計
7753,連結会計,,連結会計に関連する業務用語。,Document,会計
7754,連結包括利益計算書,,連結包括利益計算書に関連する業務用語。,Document,会計
7755,連結外し,,連結外しに関連する業務用語。,Document,会計
7756,連結子会社,Consolidated Subsidiary,連結子会社に関連する業務用語。,Document,会計
7757,連結子法人,,連結子法人に関連する業務用語。,Document,会計
7758,連結所得,,連結所得に関連する業務用語。,Document,会計
7759,連結所得に対する法人税率,,連結所得に対する法人税率に関連する業務用語。,Document,会計
7760,連結所得金額,,連結所得金額に関連する業務用語。,Document,会計
7761,連結欠損金額,,連結欠損金額に関連する業務用語。,Document,会計
7762,連結決算,Consolidated Settlement of Accounts,連結決算に関連する業務用語。,Document,会計
7763,連結決算日,,連結決算日に関連する業務用語。,Document,会計
7764,連結法,,連結法に関連する業務用語。,Document,会計
7765,連結法人税額,,連結法人税額に関連する業務用語。,Document,会計
7766,連結確定申告,,連結確定申告に関連する業務用語。,Document,会計
7767,連結範囲の変更を伴う子会社株式の取得に伴う支出,,連結範囲の変更を伴う子会社株式の取得に伴う支出に関連する業務用語。,Document,会計
7768,連結範囲の変更を伴う子会社株式の売却に伴う収入,,連結範囲の変更を伴う子会社株式の売却に伴う収入に関連する業務用語。,Document,会計
7769,連結精算表,,連結精算表に関連する業務用語。,Document,会計
7770,連結納税制度,,連結納税制度に関連する業務用語。,Document,会計
7771,連結親法人,,連結親法人に関連する業務用語。,Document,会計
7772,連結計算書類,,連結計算書類に関連する業務用語。,Document,会計
7773,連結財務諸表作成上における在外子会社等の会計処理上必要な修正項目,,連結財務諸表作成上における在外子会社等の会計処理上必要な修正項目に関連する業務用語。,Document,会計
7774,連結貸借対照表,,連結貸借対照表に関連する業務用語。,Document,会計
7775,連結配当規制会社,,連結配当規制会社に関連する業務用語。,Document,会計
7776,連続約定気配,,連続約定気配に関連する業務用語。,Concept,共通
7777,連邦住宅局,,連邦住宅局に関連する業務用語。,Concept,共通
7778,連邦住宅抵当公庫,,連邦住宅抵当公庫に関連する業務用語。,Concept,共通
7779,連邦住宅金融抵当金庫,,連邦住宅金融抵当金庫に関連する業務用語。,Concept,共通
7780,連邦公開市場委員会,,連邦公開市場委員会に関連する業務用語。,Entity,ガバナンス
7781,連邦政府抵当金庫,,連邦政府抵当金庫に関連する業務用語。,Concept,共通
7782,連邦準備制度,,連邦準備制度に関連する業務用語。,Concept,共通
7783,連邦準備制度理事会,,連邦準備制度理事会に関連する業務用語。,Concept,共通
7784,週足,,週足に関連する業務用語。,Concept,共通
7785,進捗率,Progress Rate,進捗率に関連する業務用語。,Concept,共通
7786,進捗（しんちょく）率,,進捗（しんちょく）率に関連する業務用語。,Concept,共通
7787,遅延認識項目,,遅延認識項目に関連する業務用語。,Concept,共通
7788,遅行指数,,遅行指数に関連する業務用語。,Concept,共通
7789,運営管理機関,,運営管理機関に関連する業務用語。,Concept,共通
7790,運用アドバイザー会社,,運用アドバイザー会社に関連する業務用語。,Entity,共通
7791,運用スタイル,,運用スタイルに関連する業務用語。,Concept,共通
7792,運用会社,,運用会社に関連する業務用語。,Entity,共通
7793,運用制限,,運用制限に関連する業務用語。,Concept,共通
7794,運用報告書,,運用報告書に関連する業務用語。,Concept,共通
7795,運用指図,,運用指図に関連する業務用語。,Concept,共通
7796,運用方針,,運用方針に関連する業務用語。,Concept,共通
7797,運用関係費用,,運用関係費用に関連する業務用語。,Metric,会計
7798,運管,,運管に関連する業務用語。,Concept,共通
7799,運転資本,Working Capital,運転資本に関連する業務用語。,Concept,共通
7800,運転資本(WC),,運転資本(WC)に関連する業務用語。,Concept,共通
7801,過剰債務,,過剰債務に関連する業務用語。,Concept,共通
7802,過去勤務債務,,過去勤務債務に関連する業務用語。,Concept,共通
7803,過小資本税制,,過小資本税制に関連する業務用語。,Concept,共通
7804,過少申告加算税,,過少申告加算税に関連する業務用語。,Concept,共通
7805,過怠税,,過怠税に関連する業務用語。,Concept,共通
7806,道府県民税,,道府県民税に関連する業務用語。,Concept,共通
7807,道路特定財源,,道路特定財源に関連する業務用語。,Concept,共通
7808,達成率,Achievement Rate,達成率に関連する業務用語。,Concept,共通
7809,違反配当,,違反配当に関連する業務用語。,Concept,財務分析
7810,違法配当,,違法配当に関連する業務用語。,Concept,財務分析
7811,遠くのものは避けよ,,遠くのものは避けよに関連する業務用語。,Concept,共通
7812,遡及修正,,遡及修正に関連する業務用語。,Concept,共通
7813,遡及適用,,遡及適用に関連する業務用語。,Concept,共通
7814,適債基準,,適債基準に関連する業務用語。,Concept,共通
7815,適合性の原則,,適合性の原則に関連する業務用語。,Concept,共通
7816,適応的優位性,Adaptive Advantage,適応的優位性に関連する業務用語。,Concept,共通
